#
#  aracyc 22.6 Reactions link table generated on Tue Nov 27, 2018
#
RXN-13909	EC-1.5.1.34
2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	EC-2.3.1.22
ACONITATEHYDR-RXN	
RXNQT-4249	
RXN-9225	EC-2.1.1.222
RXN-18205	
2.4.1.221-RXN	EC-2.4.1.221
RXN3O-54	EC-2.1.1.201
RXN-8508	
3-DEHYDROSPHINGANINE-REDUCTASE-RXN	EC-1.1.1.102
RXN-12534	EC-2.3.1
RXN-12085	EC-1.1.1
RXN-13684	EC-3.5.1.14	EC-3.5.1.114
PHOSPHOLIPASE-A2-RXN	EC-3.1.1.4
RXN-7741	EC-1.3.7.12
RXN-8092	EC-1.2.3.1
RXN-8357	EC-3.1.1.14
RXN-8039	EC-1.14.99
RXN4FS-5	
RXN-13667	EC-2.1.1
THIOSULFATE-SULFURTRANSFERASE-RXN	EC-2.8.1.1
RXNQT-4310	EC-1.14.14
THROMBOXANE-A-SYNTHASE-RXN	EC-5.3.99.5
RXN-14351	
RXN-14661	EC-2.1.1
F16ALDOLASE-RXN	EC-4.1.2.13
GMP-SYN-NH3-RXN	
RXN-12183	
RXN-12845	EC-5.4.99.52
RXN-14239	EC-2.4.1
RXN-14960	
RXN4FS-8	EC-2.7.7
GLY3KIN-RXN	EC-2.7.1.31
RXN-9779	EC-3.1.3.78
RXN-8320	EC-1.14.19.22
3.1.1.74-RXN	EC-3.1.1.74
1.8.3.5-RXN	EC-1.8.3.5
CERAMIDASE-RXN	EC-3.5.1.23
ABC-12-RXN	EC-3.6.3.21
RXN-15455	EC-3.5.2
RXN-774	EC-1.14.99
RXN1G-395	EC-1.3.1.9
RXN-13521	EC-2.4.1
RXN-4621	EC-1.5.99
RXN-10919	EC-6.2.1.12
RXN-4733	EC-2.4.1
RXN-14748	EC-1.14.13
RXNQT-4164	EC-4.2.1.bn
RXN-14883	
3-ISOPROPYLMALISOM-RXN	
BENZOATE--COA-LIGASE-RXN	EC-6.2.1.25
RXN-4304	
RXN-19711	EC-3.1.3
TRANS-RXN-199	
L-LACTATE-DEHYDROGENASE-RXN	EC-1.1.1.27
2.6.1.58-RXN	EC-2.6.1.58
R222-RXN	EC-1.2.1.3
RXN-9240	EC-2.1.1.222
RXN-8181	
2.4.99.4-RXN	EC-2.4.99.4
BETA-LACTAMASE-RXN	EC-3.5.2.6
6PFRUCTPHOS-RXN	EC-2.7.1.11
S-2-HYDROXY-ACID-OXIDASE-RXN	EC-1.1.3.15
GLUTACONYL-COA-DECARBOXYLASE-RXN	EC-4.1.1.70
RXN-1641	EC-2.3.1.158
RXN-8176	EC-2.4.1
6.3.5.7-RXN	EC-6.3.5.7
RXN-15815	
RXN-14515	
3.2.1.147-RXN	EC-3.2.1.147
3.6.3.1-RXN	EC-3.6.3.1
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
RXN-16635	EC-2.4.1.184
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
RXN-9015	EC-1.5.3.17	EC-1.5.3.16
H2PTERIDINEPYROPHOSPHOKIN-RXN	EC-2.7.6.3
TRANS-RXN-233	
TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN	EC-2.5.1.30
RXN-13039	
RXN-10841	EC-1.1.1.300
ABC-9-RXN	EC-3.6.3.34
RXN1G-364	EC-1.1.1
RXN0A-10711	EC-3.1.1.1
RXN-9630	EC-5.4.99.31
RXN1G-363	EC-4.2.1.59
RXN-12611	EC-2.5.1.3
RXN0-5248	
UGD-RXN	EC-1.1.1.22
RXN-14208	EC-3.6.1.5
DCYSDESULF-RXN	EC-4.4.1.15
RXN-7687	EC-1.14.11.22
3.6.3.41-RXN	EC-3.6.3.41
RXN-14652	
RXN-5643	EC-2.1.1.103
RXN-12864	
RXN-6182	EC-5.3.1.9
DAPASYN-RXN	EC-2.6.1.62
RXN-10688	EC-2.3.1
RXN-14503	
RXN-7683	EC-2.7.1.182
RXNQT-4166	EC-2.3.3.c
1.17.4.2-RXN	EC-1.17.4.2
1.5.1.7-RXN	EC-1.5.1.7
RXN-7968	EC-1.1.1.282
2.7.9.5-RXN	EC-2.7.9.5
3.1.3.62-RXN	EC-3.1.3.62
P-PANTOCYSDECARB-RXN	EC-4.1.1.36
GSHTRAN-RXN	EC-2.5.1.18
RXN-6641	EC-3.4.19.13
DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
RXN-14997	
RXN-8423	EC-4.2.3
RXN0-1141	EC-6.3.1.20
DIAMACTRANS-RXN	EC-2.3.1.57
RXN-7895	EC-1.14.99
RXN-15331	EC-2.3.1
6.3.5.6-RXN	EC-6.3.5.6
TRANS-RXN-230	
TRANS-RXN-186	
RXN490-3616	EC-6.1.1
1.1.1.141-RXN	EC-1.1.1.141
1.14.99.30-RXN	EC-1.14.99.30
RXN-9813	EC-3.1.2
