AT4G33150-MONOMER	AT4G33150	Q9SMZ4		saccharopine dehydrogenase (NADP+, L-lysine-forming)
AT4G19690-MONOMER	AT4G19690	Q38856		Fe(II) transport protein, Fe(2+) transport protein 1
AT5G03300-MONOMER	AT5G03300			
GQT-4761-MONOMER	GQT-4761		AT1G22710.1	
GQT-5101-MONOMER	GQT-5101		AT4G21760.2	
AT2G46960-MONOMER	AT2G46960	Q9ASR3	AT2G46960	
AT1G35290-MONOMER	AT1G35290	Q9C715	acyl-lipid thioesterase 1	ALT1
AT5G04180-MONOMER	AT5G04180	Q9FYE3	carbonate dehydratase	
AT1G66800-MONOMER	AT1G66800	Q9C9N2	dehydrogenase	
AT4G01190-MONOMER	AT4G01190	Q9M149	1-phosphatidylinositol-4-phosphate 5-kinase	
AT2G31955-MONOMER	AT2G31955	Q39055		
AT1G22340-MONOMER	AT1G22340	Q9LME8	UDP-glycosyltransferase//glucuronosyltransferase	
GQT-358-MONOMER	GQT-358	Q8S904	AT4G21090.1	
AT3G57140-MONOMER	AT3G57140	Q9M1I6	AT3G57140	
GQT-3978-MONOMER	GQT-3978		AT3G14075.1	
AT2G43860-MONOMER	AT2G43860	O22818	polygalacturonase	
AT1G23870-MONOMER	AT1G23870		trehalose-phosphatase//gtransferase, transferring glycosyl groups	
AT3G45130-MONOMER	AT3G45130	Q1G1A4	lanosterol synthase	
AT5G08170-MONOMER	AT5G08170		agmatine iminohydrolase//agmatine deiminase	
GQT-5306-MONOMER	GQT-5306		AT2G01900.3	
AT4G35830-MONOMER	AT4G35830		aconitase	aconitate hydratase
CPLX-6221				
AT1G44180-MONOMER	AT1G44180	Q9C6Y8	aminoacylase	
AT3G07840-MONOMER	AT3G07840	Q9SFD0	polygalacturonase	
AT3G15730-CPLX				PLD &alpha;, PLD, PLD alpha
AT2G24270-MONOMER	AT2G24270	Q1WIQ6	glyceraldehyde-3-phosphate dehydrogenase (NADP+)//3-chloroallyl aldehyde dehydrogenase	NP-GAPDH, non-phosphorylating glyceraldehyde3-phosphate dehydrogenase
GQT-5484-MONOMER	GQT-5484		AT1G45110.1	
AT1G16980-MONOMER	AT1G16980		alpha,alpha-trehalose-phosphate synthase (UDP-forming)	
AT3G44560-MONOMER	AT3G44560	Q1PEI6		
GQT-3882-MONOMER	GQT-3882		AT5G17500.1	
AT4G23500-MONOMER	AT4G23500	O81746	polygalacturonase	
GQT-801-MONOMER	GQT-801	Q9LSW0	AT3G25400.1	
CPLX-2082				
AT1G31190-MONOMER	AT1G31190	Q94F00		
GQT-4804-MONOMER	GQT-4804		AT1G79050.1	
AT3G42960-MONOMER	AT3G42960	Q9M1K9	oxidoreductase	
GQT-4833-MONOMER	GQT-4833		AT3G28990.1	
AT2G35040-MONOMER	AT2G35040	Q8RWT5	IMP cyclohydrolase	
AT5G35630-MONOMER	AT5G35630	Q43127		
GQT-5069-MONOMER	GQT-5069		AT1G77370.2	
AT5G23970-MONOMER	AT5G23970	Q9FLW4	transferase	
AT2G28800-MONOMER	AT2G28800	Q8LBP4	Inner membrane protein ALBINO3	PsbX
AT2G32990-MONOMER	AT2G32990	O48766	hydrolase, hydrolyzing O-glycosyl compounds	
AT5G04540-MONOMER	AT5G04540	Q0WP53	inositol or phosphatidylinositol phosphatase//phosphoric monoester hydrolase	
AT4G14680-MONOMER	AT4G14680		APS3	sulfate adenylyltransferase (ATP)
AT3G50280-MONOMER	AT3G50280	Q9SND9	transferase	
GQT-4988-MONOMER	GQT-4988		AT1G42680.1	
AT4G14716-MONOMER	AT4G14716	Q8GXE2	oxidoreductase	
AT3G29255-MONOMER	AT3G29255	Q9LS68	AT3G29255	
GQT-5169-MONOMER	GQT-5169		AT3G52526.2	
GQT-5602-MONOMER	GQT-5602		AT4G27680.1	
MONOMER-845			serine hydroxymethyltransferase	
AT4G33820-MONOMER	AT4G33820	Q84WT5	hydrolase, hydrolyzing O-glycosyl compounds	
AT1G08080-MONOMER	AT1G08080	Q8L817	carbonate dehydratase	
AT1G75130-MONOMER	AT1G75130	Q9FRK4	AT1G75130	
AT2G04540-MONOMER	AT2G04540	Q8L3X9	fatty-acid synthase	
AT1G63270-MONOMER	AT1G63270	Q9C8T1	AT1G63270	
GQT-5341-MONOMER	GQT-5341		AT4G30210.3	
GQT-5343-MONOMER	GQT-5343		AT2G42010.2	
AT3G60970-MONOMER	AT3G60970	Q7FB56	ATPase, coupled to transmembrane movement of substances	
AT5G26810-MONOMER	AT5G26810	O04953	pectinesterase	
GQT-5227-MONOMER	GQT-5227		AT3G59710.2	
AT4G32840-MONOMER	AT4G32840	Q9M076	6-phosphofructokinase	
GQT-5050-MONOMER	GQT-5050		AT1G53000.2	
AT5G40850-MONOMER	AT5G40850	Q42606	uroporphyrin-III C-methyltransferase	
AT3G29320-MONOMER	AT3G29320	Q9LIB2	phosphorylase	
GQT-5184-MONOMER	GQT-5184		AT4G16070.3	
GQT-5153-MONOMER	GQT-5153		AT2G24520.2	
AT5G63800-MONOMER	AT5G63800	Q9FFN4	beta-galactosidase	
ATCG00500-MONOMER	ATCG00500	P56765	acetyl-CoA carboxyltransferase beta	
GQT-4018-MONOMER	GQT-4018		AT5G39220.1	
AT1G63370-MONOMER	AT1G63370	Q9C8U0	monooxygenase	
AT5G43690-MONOMER	AT5G43690	Q9FG94	sulfotransferase	
AT5G24160-MONOMER	AT5G24160	O65402	oxidoreductase	
GQT-4801-MONOMER	GQT-4801		AT3G26780.1	
GQT-4666-MONOMER	GQT-4666		AT1G76570.1	
AT3G45040-MONOMER	AT3G45040	Q8VXX8	AT3G45040	
AT5G21100-MONOMER	AT5G21100	Q8LPL3	oxidoreductase	
AT2G29450-MONOMER	AT2G29450	P46421	glutathione transferase	
GQT-3943-MONOMER	GQT-3943		AT4G22530.1	
GQT-83-MONOMER	GQT-83	Q3ECM4	AT1G58725.1	
AT2G40840-MONOMER	AT2G40840	Q8RXD9	4-alpha-glucanotransferase	
AT3G30540-MONOMER	AT3G30540	Q9LW44	hydrolase, hydrolyzing O-glycosyl compounds	
AT3G60510-MONOMER	AT3G60510	Q5XF59	catalytic	
AT5G50210-MONOMER	AT5G50210	Q9FGS4	quinolinate synthetase A	
AT4G29680-MONOMER	AT4G29680	Q9SU83	hydrolase	
CPLX-7062				
GQT-5506-MONOMER	GQT-5506		AT2G26970.1	
AT1G20330-MONOMER	AT1G20330	Q39227		
GQT-5082-MONOMER	GQT-5082		AT2G32520.2	
AT1G06080-MONOMER	AT1G06080	O65797	oxidoreductase	AtADS1, acyl-coenzyme A desaturase-like 1
AT3G14050-MONOMER	AT3G14050	Q9LVJ3		
GQT-5347-MONOMER	GQT-5347		AT1G31950.3	
GQT-5413-MONOMER	GQT-5413		AT2G38995.2	
GQT-1337-MONOMER	GQT-1337	Q9SJ08	AT2G21910.1	
AT2G30770-MONOMER	AT2G30770	O49342	indoleacetaldoxime dehydratase	CYP71A13
AT5G47980-MONOMER	AT5G47980	Q9FI40	acyltransferase	
CPLX-8304			cyanase	cyanate lyase, cyanate hydrolase
AT2G46660-MONOMER	AT2G46660	Q9ZNR0	AT2G46660	
AT1G77060-MONOMER	AT1G77060	O49290	AT1G77060	
AT1G49430-MONOMER	AT1G49430	Q9XIA9	long-chain-fatty-acid-CoA ligase	
AT5G03650-MONOMER	AT5G03650	Q9LZS3	1,4-alpha-glucan branching enzyme	
AT5G20710-MONOMER	AT5G20710	Q9SCV5	beta-galactosidase	
AT1G58643-MONOMER	AT1G58643	Q93WB3	AT1G58643	
AT1G06130-MONOMER	AT1G06130	Q8LDW8	hydroxyacylglutathione hydrolase	
AT2G03550-MONOMER	AT2G03550	Q9ZQ91	hydrolase	
AT1G31670-MONOMER	AT1G31670	Q9C6V7	AT1G31670	
AT3G55410-MONOMER	AT3G55410	Q84VW8	AT3G55410	
AT3G48290-MONOMER	AT3G48290	Q9STK9	AT3G48290	
GQT-4583-MONOMER	GQT-4583		AT3G24880.1	
AT1G72810-MONOMER	AT1G72810	Q9SSP5	threonine synthase	
AT4G30120-MONOMER	AT4G30120	Q9SZW5	ATPase, coupled to transmembrane movement of ions, phosphorylative mechanism	
AT3G16410-MONOMER	AT3G16410			
GQT-5410-MONOMER	GQT-5410		AT1G65310.2	
AT2G27860-MONOMER	AT2G27860	Q9ZUY6	UDP-glucuronate decarboxylase	
GQT-4621-MONOMER	GQT-4621		AT5G35690.1	
GQT-4800-MONOMER	GQT-4800		AT1G34270.1	
AT3G17240-MONOMER	AT3G17240		mitochondrial lipoamide dehydrogenase 2	branched-chain keto-acid dehydrogenase complex E3 subunit, mtLPD2
AT1G33700-MONOMER	AT1G33700	Q84W58	AT1G33700	
AT2G30860-MONOMER	AT2G30860		glutathione transferase//glutathione peroxidase	
AT1G49710-MONOMER	AT1G49710	Q9FX97	fucosyltransferase	
AT1G62810-MONOMER	AT1G62810	Q8H1H9	AT1G62810	
GQT-4435-MONOMER	GQT-4435		AT2G32030.1	
GQT-4901-MONOMER	GQT-4901		AT3G02730.1	
GQT-4999-MONOMER	GQT-4999		AT1G19710.1	
AT1G30700-MONOMER	AT1G30700	Q9SA85	electron carrier	
AT2G48150-MONOMER	AT2G48150	Q8L910	glutathione peroxidase	
AT3G60750-MONOMER	AT3G60750	Q8RWV0	transketolase 1	AtTKL1
AT5G53090-MONOMER	AT5G53090	Q66GR1	oxidoreductase	AT5g53090
GQT-5527-MONOMER	GQT-5527		AT5G55920.1	
GQT-5240-MONOMER	GQT-5240		AT3G17470.2	
AT2G26440-MONOMER	AT2G26440	O48711	pectinesterase	
AT2G29310-MONOMER	AT2G29310	Q9ZW14	oxidoreductase	
AT4G29460-MONOMER	AT4G29460	Q9M0D7	phospholipase A2	PLA2
CPLX-1505			phosphatidylinositol synthase	
AT1G01120-MONOMER	AT1G01120	Q9MAM3	very-long-chain 3-ketoacyl-CoA synthase	KCS, condensing enzyme, KCS1
GQT-4991-MONOMER	GQT-4991		AT5G15120.1	
AT2G44460-MONOMER	AT2G44460	Q4V3B3	hydrolase, hydrolyzing O-glycosyl compounds	
AT4G26850-MONOMER	AT4G26850		GDP-L-galactose phosphorylase	galactose-1-phosphate guanylyltransferase (GDP)
GQT-5569-MONOMER	GQT-5569		AT1G23190.1	
AT5G50950-MONOMER	AT5G50950	Q9FI53	fumarase	fumarate hydratase
GQT-4772-MONOMER	GQT-4772		AT4G15510.1	
AT5G09300-MONOMER	AT5G09300	Q84JL2	branched-chain &alpha;-keto acid decarboxylase E1-&alpha; subunit	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring), branched-chain keto-acid dehydrogenase complex E1-&alpha; subunit
AT1G72520-MONOMER	AT1G72520		lipoxygenase	
AT4G15290-MONOMER	AT4G15290	Q0WT40	cellulose synthase	
AT3G24090-MONOMER	AT3G24090			
AT3G52820-MONOMER	AT3G52820	Q8S340	acid phosphatase	
AT2G21590-MONOMER	AT2G21590		ADP-glucose pyrophosphorylase	glucose-1-phosphate adenylyltransferase
AT2G14100-MONOMER	AT2G14100	Q9SI49	AT2G14100	
AT2G27500-MONOMER	AT2G27500	Q9ZQG9	hydrolase, hydrolyzing O-glycosyl compounds	
AT3G54660-MONOMER	AT3G54660		glutathione reductase	glutathione-disulfide reductase
AT1G19940-MONOMER	AT1G19940	Q9FXI9	hydrolase, hydrolyzing O-glycosyl compounds	
AT2G29560-MONOMER	AT2G29560	Q9ZW34	phosphopyruvate hydratase	
AT1G65860-MONOMER	AT1G65860		glucosinolate S-oxygenase	
AT1G68260-MONOMER	AT1G68260	Q8W583	acyl-lipid thioesterase 3	ALT3
GQT-4790-MONOMER	GQT-4790		AT3G43340.1	
CPLX-7645			3-ketoacyl-[acp] synthase 2, chloroplastic	
AT1G62660-MONOMER	AT1G62660	Q43348	hydrolase, hydrolyzing O-glycosyl compounds	
AT3G19480-MONOMER	AT3G19480	Q9LT69	phosphoglycerate dehydrogenase//oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor	
AT1G68620-MONOMER	AT1G68620	Q9SX25	hydrolase	
AT1G08830-MONOMER	AT1G08830	P24704	copper, zinc superoxide dismutase	
AT5G42150-MONOMER	AT5G42150	Q9FHX0	electron carrier	
AT4G38220-MONOMER	AT4G38220	Q3E9P0		
AT1G50090-MONOMER	AT1G50090	Q9LPM8		
GQT-4105-MONOMER	GQT-4105		AT4G28730.1	
GQT-5291-MONOMER	GQT-5291		AT4G01970.2	
AT5G09700-MONOMER	AT5G09700	Q9LXD3	hydrolase, hydrolyzing O-glycosyl compounds	
AT4G21990-MONOMER	AT4G21990		APR3	
GQT-4225-MONOMER	GQT-4225		AT3G04030.3	
POP3-MONOMER	POP3		adenosylmethionine-8-amino-7-oxononanoate transaminase	
AT5G23310-MONOMER	AT5G23310		iron superoxide dismutase	
AT5G62420-MONOMER	AT5G62420	Q9FJK0	oxidoreductase	
GQT-3343-MONOMER	GQT-3343		AT2G43840.1	
AT3G26040-MONOMER	AT3G26040	Q9LU88	transferase	
GQT-5151-MONOMER	GQT-5151		AT4G09010.3	
MONOMER-AT5G03080	AT5G03080		plastidic phosphatidic acid phosphatase	
AT3G18850-MONOMER	AT3G18850	Q9LHN4	acyltransferase	
AT2G29290-MONOMER	AT2G29290	Q9ZW13	oxidoreductase	
GQT-4318-MONOMER	GQT-4318		AT5G34581.1	
AT3G44550-MONOMER	AT3G44550	Q0WRB0	oxidoreductase, acting on the CH-CH group of donors	
AT5G49180-MONOMER	AT5G49180	Q9FJ21	pectinesterase	
AT2G30210-MONOMER	AT2G30210	Q56YT0	oxidoreductase	
GQT-5325-MONOMER	GQT-5325		AT5G16190.4	
GQT-2848-MONOMER	GQT-2848	Q8VYM2	AT5G43350.1	
GQT-4275-MONOMER	GQT-4275		AT2G36325.1	
GQT-5463-MONOMER	GQT-5463		AT2G26140.1	
GQT-1749-MONOMER	GQT-1749	Q9FXK7	AT1G24793.1	
AT5G50370-MONOMER	AT5G50370	Q9FK35	adenylate kinase	
AT5G13000-MONOMER	AT5G13000	Q9LXT9	1,3-beta-glucan synthase	
AT4G15280-MONOMER	AT4G15280		UDP-glycosyltransferase	
AT4G04870-MONOMER	AT4G04870	Q93YW7	cardiolipin synthase	
AT4G12290-MONOMER	AT4G12290	Q8L742	AT4G12290	
AT5G47500-MONOMER	AT5G47500	Q8LPF3	pectinesterase	
AT4G13760-MONOMER	AT4G13760	Q9SVN6	polygalacturonase	
GQT-5066-MONOMER	GQT-5066		AT5G47240.2	
GQT-3590-MONOMER	GQT-3590		AT1G19730.1	
ATMG00730-MONOMER	ATMG00730	P92514	complex IV subunit 3	cytochrome-c oxidase
AT5G16910-MONOMER	AT5G16910	Q9LFL0	cellulose synthase	
AT5G54500-MONOMER	AT5G54500	Q9LSQ5	oxidoreductase, acting on NADH or NADPH, quinone or similar compound as acceptor	
AT1G49390-MONOMER	AT1G49390	Q9XIA5	oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	
ATCG00430-MONOMER	ATCG00430	P56756	NADH dehydrogenase (ubiquinone)	
GQT-5475-MONOMER	GQT-5475		AT1G06560.1	
AT5G09650-MONOMER	AT5G09650			inorganic diphosphatase
AT3G12800-MONOMER	AT3G12800	Q9LTV6	oxidoreductase	
GQT-4876-MONOMER	GQT-4876		AT1G23205.1	
AT1G67980-MONOMER	AT1G67980	Q9C9W3	caffeoyl-CoA O-methyltransferase	
GQT-5382-MONOMER	GQT-5382		AT1G62540.2	
AT1G23210-MONOMER	AT1G23210	O49296	hydrolase, hydrolyzing O-glycosyl compounds	
AT2G43100-MONOMER	AT2G43100	Q9ZW84	hydro-lyase	isopropylmalate dehydratase, small subunit
AT5G24318-MONOMER	AT5G24318	Q0WL04	hydrolase, hydrolyzing O-glycosyl compounds	
AT1G54350-MONOMER	AT1G54350	Q6NLC1	ATPase, coupled to transmembrane movement of substances	
AT5G65090-MONOMER	AT5G65090	Q66GQ6	hydrolase	
GQT-821-MONOMER	GQT-821	O82333	AT2G14960.1	
ATMG01320-MONOMER	ATMG01320	O05000	NADH dehydrogenase (ubiquinone)	NADH dehydrogenase
AT1G60740-MONOMER	AT1G60740	O22711	AT1G60740	
AT4G12320-MONOMER	AT4G12320	Q66GJ1	AT4G12320	
GQT-5275-MONOMER	GQT-5275		AT1G05610.2	
AT4G39950-MONOMER	AT4G39950	O81346	CYP79B2	
AT4G35010-MONOMER	AT4G35010	Q9SCV1	beta-galactosidase	
AT2G39020-MONOMER	AT2G39020	Q9ZV06	N-acetyltransferase	
GQT-4701-MONOMER	GQT-4701		AT5G57450.1	
AT1G77590-MONOMER	AT1G77590	Q9CAP8	long-chain-fatty-acid-CoA ligase	
GQT-4862-MONOMER	GQT-4862		AT1G71340.1	
AT5G64640-MONOMER	AT5G64640	Q8L7Q7	pectinesterase	
GQT-727-MONOMER	GQT-727	Q9M325	AT3G54020.1	
AT1G44970-MONOMER	AT1G44970	Q96512	peroxidase	
AT1G31330-MONOMER	AT1G31330		PSI-F	
AT4G00110-MONOMER	AT4G00110			
GQT-4182-MONOMER	GQT-4182		AT2G45280.2	
AT2G26560-MONOMER	AT2G26560	O48723	lipase	
AT2G32810-MONOMER	AT2G32810	Q9SCV3	beta-galactosidase	
AT1G28670-MONOMER	AT1G28670	Q38894	hydrolase activity, acting on ester bonds	
GQT-5391-MONOMER	GQT-5391		AT3G26130.2	
GQT-5516-MONOMER	GQT-5516		AT1G07510.1	
AT4G15940-MONOMER	AT4G15940	O23443	catalytic	
AT5G65685-MONOMER	AT5G65685	Q8GWC5	starch synthase	
MONOMER-15765				
AT5G60500-MONOMER	AT5G60500	Q8LED0	prenyltransferase//dehydrodolichyl diphosphate synthase	
AT3G10230-MONOMER	AT3G10230	Q38933		
GQT-5287-MONOMER	GQT-5287		AT5G44030.2	
GQT-5067-MONOMER	GQT-5067		AT3G46940.2	
CPLX-1246				
AT5G41240-MONOMER	AT5G41240	Q8L727	glutathione transferase	
GQT-5407-MONOMER	GQT-5407		AT3G26140.3	
AT1G79470-MONOMER	AT1G79470	P47996		
AT1G12740-MONOMER	AT1G12740	Q6NPN1	AT1G12740	
AT5G49810-MONOMER	AT5G49810	Q9LTB2	S-adenosylmethionine-dependent methyltransferase	
AT3G44310-MONOMER	AT3G44310	P32961	Nit1	nitrilase
GQT-380-MONOMER	GQT-380	O22189	AT2G23180.1	
AT4G34138-MONOMER	AT4G34138	Q8VZE9	abscisic acid glucosyltransferase	
AT5G36890-MONOMER	AT5G36890	Q9FIW4	hydrolase, hydrolyzing O-glycosyl compounds	
GQT-4853-MONOMER	GQT-4853		AT3G47560.2	
AT2G29130-MONOMER	AT2G29130	O81081	oxidoreductase	
GQT-5208-MONOMER	GQT-5208		AT1G33590.2	
AT5G17050-MONOMER	AT5G17050	Q9LFJ8		
AT3G29670-MONOMER	AT3G29670	Q9LRQ8	transferase	
AT1G06620-MONOMER	AT1G06620	Q84MB3	2-oxoglutarate-dependent dioxygenase	
AT3G58490-MONOMER	AT3G58490	Q9M2G7	phosphoric ester hydrolase//sphingosine-1-phosphate phosphatase	
GQT-4517-MONOMER	GQT-4517		AT1G67350.1	
AT5G19220-MONOMER	AT5G19220	P55229	ADP-glucose pyrophosphorylase large subunit//glucose-1-phosphate adenylyltransferase	ADG2
AT2G47510-MONOMER	AT2G47510		fumarate hydratase	
AT1G64920-MONOMER	AT1G64920	Q9XIQ4	transferase, transferring glycosyl groups	
AT1G69500-MONOMER	AT1G69500	Q8GWJ5		CYP704B1
GQT-3749-MONOMER	GQT-3749		AT4G38460.1	
AT1G78910-MONOMER	AT1G78910	Q5XET6	pseudouridine synthase	
AT1G02640-MONOMER	AT1G02640	Q94KD8	hydrolase, hydrolyzing O-glycosyl compounds	
AT2G12200-MONOMER	AT2G12200	Q9ZUQ5	ligase	
AT1G24430-MONOMER	AT1G24430	Q9FYM0	transferase	
AT3G48950-MONOMER	AT3G48950	Q9SMT3	polygalacturonase	
GQT-5530-MONOMER	GQT-5530		AT5G13570.2	
GQT-4171-MONOMER	GQT-4171		AT3G08560.1	
AT3G55430-MONOMER	AT3G55430	Q9M2T6	hydrolase, hydrolyzing O-glycosyl compounds	
GQT-5182-MONOMER	GQT-5182		AT1G30740.2	
GQT-4491-MONOMER	GQT-4491		AT5G19630.1	
GQT-2643-MONOMER	GQT-2643	O80959	AT2G39220.1	
AT2G40690-MONOMER	AT2G40690			
AT2G38080-MONOMER	AT2G38080	O80434	laccase	
GQT-3877-MONOMER	GQT-3877		AT4G27360.1	
AT1G77100-MONOMER	AT1G77100	O49293	peroxidase	
AT4G30530-MONOMER	AT4G30530	Q9M0A7		
GQT-3917-MONOMER	GQT-3917		AT4G19120.1	
GQT-4920-MONOMER	GQT-4920		AT4G39955.1	
AT1G10830-MONOMER	AT1G10830	B3H769		
