#
#  aracyc 22.6 Genes link table generated on Tue Nov 27, 2018
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
GQT-4924		AT5G38360.1	
GQT-5453		AT3G25470.1	
AT3G55810	Q9M044	AT3G55810.1	
AT5G19730	Q8VYZ3	AT5G19730.1	
GQT-5315		AT5G09680.3	
MAM2		MAM2	
GQT-2784	Q9LK16	AT3G24290.1	
AT3G55630	Q8W035	AT3G55630.3	
AT5G13500	Q9FY51	AT5G13500	
AT3G04940	Q9S6Z7	AT3G04940.1	
AT5G15070	Q84WW3	AT5G15070.2	
AT1G27130	Q9FUS6	AT1G27130.1	
AT5G13000	Q9LXT9	AT5G13000.1	
AT2G03770	Q9ZPQ5	AT2G03770.1	
AT5G39080	Q9FID2	AT5G39080.1	
GQT-3995		AT1G77810.1	
AT5G49740	Q3KTM0	AT5G49740.1	
GQT-4285		AT3G02910.1	
AT1G21530	Q9LPK7	AT1G21530.2	
GQT-3905		AT3G48820.1	
AT4G01830	Q9SYI3	AT4G01830.1	
AT2G07050	P38605	CAS1	
GQT-3835		AT1G08730.1	
AT3G02350		GAUT9	
AT2G18980	Q96518	AT2G18980.1	
AT5G59540	Q9LTH7	AT5G59540.1	
GQT-5299		AT2G31900.2	
AT4G15350	O23391	AT4G15350.1	
GQT-5382		AT1G62540.2	
GQT-4577		AT2G01320.3	
GQT-2986		AT5G16150.1	
GQT-1476	Q9LFH3	AT3G53450.1	
AT5G46240	Q39128	KAT1	
AT5G39910	Q9FLE3	AT5G39910.1	
AT4G16800	O23520	AT4G16800.1	
AT4G37670	Q3E9P2	AT4G37670.2	
AT4G25434	Q6NPD7	AT4G25434.2	
AT4G38590		AT4G38590.2	
AT2G43570	O24603	AT2G43570.1	
AT1G59500	Q9LQ68	AT1G59500.1	
AT5G05580	P48622	fad8	
AT3G12780	Q9LD57	AT3G12780.1	
GQT-5320		AT5G45580.2	
AT2G02390	Q9ZVQ3	AT2G02390.3	
AT5G55590	Q9FM79	AT5G55590.1	
GQT-5231		AT3G14690.2	
AT5G23960	Q84UU4	AT5G23960.1	
GQT-5134		AT3G52840.2	
GQT-4589		AT4G36610.1	
AT2G18730	Q8VZG1	AT2G18730.1	
GQT-5541		AT2G47940.1	
AT1G16700	Q9FX83	AT1G16700.1	
AT2G15370	Q9SJP4	AT2G15370.1	
GQT-5033		AT3G61220.3	
AT2G23620	Q8S8S9	AT2G23620.1	
AT3G47740	Q1PEH6	AT3G47740.1	
AT1G73980	Q9C9B9	AT1G73980.1	
AT1G20132	B3H6L2	AT1G20132.1	
AT1G05310	O23038	AT1G05310.1	
AT1G31550	Q9C857	AT1G31550.2	
AT2G34980	O64761	AT2G34980.1	
AT1G11090	O04083	AT1G11090.1	
GQT-821	O82333	AT2G14960.1	
AT4G26250		GolS6	
AT3G25830	Q9LDF1	AT3G25830.1	
AT2G36790		UGT73C6	
AT1G17170	Q9SHH6	GSTU24	
AT5G18280	Q9SPM5	AT5G18280.2	
AT2G45440	Q9FVC8	AT2G45440.1	
AT1G43100	Q9C8C2	AT1G43100.1	
GQT-5160		AT1G02950.5	
AT2G36760	Q9ZQ98	AT2G36760.1	
GQT-4108		AT3G09090.1	
GQT-721	O64631	AT2G45510.1	
GQT-1197	Q9FHN7	AT5G51470.1	
G-11070	Q7Y051	PAA2	
GQT-5369		AT2G44990.2	
AT3G44560	Q1PEI6	AT3G44560.1	
AT4G33030		SQD1	
AT1G34520	Q9LNL1	AT1G34520.1	
GQT-5113		AT1G70630.3	
GQT-279	Q9ASR4	AT5G27410.2	
ATMG00270	P60497	ATMG00270.1	
GQT-5609		AT4G16330.2	
GQT-5154		AT2G26400.2	
AT2G38380	P24102	AT2G38380.1	
AT1G32860	Q8L868	AT1G32860.1	
GQT-4817		AT4G38370.1	
AT5G09660	Q9ZP05	PMDH2	
AT5G18930	Q3E9D5	AT5G18930.1	
AT3G10850		GLX2-2	
AT4G13250	Q93ZA0	AT4G13250.1	
AT1G79470	P47996	AT1G79470.1	
AT2G23410	O80458	AT2G23410.1	
AT1G03310	Q8L735	ISA2	
GQT-3124		AT3G07720.1	
AT3G26270	Q9LTL2	AT3G26270.1	
GQT-4154		AT5G02890.1	
AT5G06300	Q8GW29	AT5G06300.1	
ATCG00430	P56756	ATCG00430.1	
GQT-5020		AT5G63420.1	
AT5G08460	Q9FNP2	AT5G08460.1	
AT3G26210	Q9LTM0	AT3G26210.1	
AT5G16970	Q39172	AT5G16970.1	
GQT-5148		AT2G31750.2	
GQT-4652		AT4G38030.1	
AT3G13930	Q8RWN9	AT3G13930.1	
AT3G56060	Q93ZK1	AT3G56060.1	
AT5G21105	O04947	AT5G21105.1	
AT4G32770		vte1	
AT3G09270	Q9SR36	AT3G09270.1	
GQT-4237		AT4G05400.1	
AT1G47600		TGG4	
AT1G06680		PsbP	
AT1G22430	Q9SK86	AT1G22430.1	
AT1G24180	Q8H1Y0	AT1G24180.1	
AT2G15490		UGT73B4	
GQT-4073		AT4G28070.2	
AT4G13770	P48421	AT4G13770.1	
AT5G09700	Q9LXD3	AT5G09700.1	
GQT-3886		AT1G53520.1	
AT3G21070		NADK1	
AT3G60160	Q9M1C7	AT3G60160.1	
AT3G46490	Q9SNC8	AT3G46490.1	
AT5G66280	Q9SNY3	AT5G66280.1	
AT1G68540	Q9CA28	TKPR2	
GQT-5552		AT3G60190.1	
AT3G42950	Q9M1L0	AT3G42950.1	
GQT-5511		AT1G57800.2	
GQT-5042		AT1G80555.2	
GQT-2840	Q5KS41	AT5G53390.1	
GQT-5306		AT2G01900.3	
GQT-5476		AT1G49630.1	
AT2G22810	Q43309	ACS4	
GQT-560	Q9FK04	AT5G53380.1	
AT1G79900	Q9CA93	AT1G79900.1	
GQT-2546	Q84MC2	AT5G11950.1	
AT1G68270	Q9C9G2	AT1G68270.1	
AT2G04650	Q8W4J5	AT2G04650.1	
AT5G43780		APS4	
AT1G07240		UGT71C5	
AT1G32910	Q9MAP9	AT1G32910.1	
GQT-4608		AT1G19300.1	
AT1G12240	Q39041	AT1G12240.1	
GQT-5588		AT3G02450.1	
AT5G04540	Q0WP53	AT5G04540.1	
AT4G27830	Q93ZI4	AT4G27830.1	
AT3G44970	Q9LXH8	AT3G44970.1	
GQT-4868		AT1G13860.1	
AT4G34710	O23141	AT4G34710.1	
AT5G03795	Q9FFN2	AT5G03795.1	
AT4G24160	O22975	AT4G24160.1	
